
Saturn
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2022 | 2459580.45833|   59579.95833| 09 37.2 -18 01         | 307.357 -45.705  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7452 AU|
00 30 00  01.01.2022 | 2459580.47917|   59579.97917| 10 07.2 -18 01         | 316.658 -49.110  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7454 AU|
01 00 00  01.01.2022 | 2459580.50000|   59580.00000| 10 37.3 -18 01         | 326.997 -51.943  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7456 AU|
01 30 00  01.01.2022 | 2459580.52083|   59580.02083| 11 07.4 -18 01         | 338.365 -54.048  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7458 AU|
02 00 00  01.01.2022 | 2459580.54167|   59580.04167| 11 37.4 -18 01         | 350.559 -55.276  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7459 AU|
02 30 00  01.01.2022 | 2459580.56250|   59580.06250| 12 07.5 -18 01         | 003.159 -55.527  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7461 AU|
03 00 00  01.01.2022 | 2459580.58333|   59580.08333| 12 37.6 -18 00         | 015.620 -54.778  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7463 AU|
03 30 00  01.01.2022 | 2459580.60417|   59580.10417| 13 07.7 -18 00         | 027.439 -53.093  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7465 AU|
04 00 00  01.01.2022 | 2459580.62500|   59580.12500| 13 37.7 -18 00         | 038.304 -50.604  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7467 AU|
04 30 00  01.01.2022 | 2459580.64583|   59580.14583| 14 07.8 -18 00         | 048.114 -47.465  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7468 AU|
05 00 00  01.01.2022 | 2459580.66667|   59580.16667| 14 37.9 -18 00         | 056.930 -43.828  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7470 AU|
05 30 00  01.01.2022 | 2459580.68750|   59580.18750| 15 08.0 -18 00         | 064.887 -39.824  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7472 AU|
06 00 00  01.01.2022 | 2459580.70833|   59580.20833| 15 38.0 -18 00         | 072.147 -35.561  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7474 AU|
06 30 00  01.01.2022 | 2459580.72917|   59580.22917| 16 08.1 -18 00         | 078.865 -31.126  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7476 AU|
07 00 00  01.01.2022 | 2459580.75000|   59580.25000| 16 38.2 -18 00         | 085.179 -26.590  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7477 AU|
07 30 00  01.01.2022 | 2459580.77083|   59580.27083| 17 08.2 -18 00         | 091.208 -22.012  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7479 AU|
08 00 00  01.01.2022 | 2459580.79167|   59580.29167| 17 38.3 -18 00         | 097.053 -17.444  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7481 AU|
08 30 00  01.01.2022 | 2459580.81250|   59580.31250| 18 08.4 -18 00         | 102.802 -12.932  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7483 AU|
09 00 00  01.01.2022 | 2459580.83333|   59580.33333| 18 38.5 -18 00         | 108.531 -08.521  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7484 AU|
09 30 00  01.01.2022 | 2459580.85417|   59580.35417| 19 08.5 -18 00         | 114.307 -04.257  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7486 AU|
10 00 00  01.01.2022 | 2459580.87500|   59580.37500| 19 38.6 -18 00         | 120.189 +00.304  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7488 AU|
10 30 00  01.01.2022 | 2459580.89583|   59580.39583| 20 08.7 -18 00         | 126.228 +03.843  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7490 AU|
11 00 00  01.01.2022 | 2459580.91667|   59580.41667| 20 38.8 -18 00         | 132.468 +07.308  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7492 AU|
11 30 00  01.01.2022 | 2459580.93750|   59580.43750| 21 08.8 -18 00         | 138.938 +10.476  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7493 AU|
12 00 00  01.01.2022 | 2459580.95833|   59580.45833| 21 38.9 -18 00         | 145.659 +13.261  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7495 AU|
12 30 00  01.01.2022 | 2459580.97917|   59580.47917| 22 09.0 -18 00         | 152.630 +15.601  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7497 AU|
13 00 00  01.01.2022 | 2459581.00000|   59580.50000| 22 39.1 -18 00         | 159.834 +17.442  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7499 AU|
13 30 00  01.01.2022 | 2459581.02083|   59580.52083| 23 09.1 -18 00         | 167.229 +18.738  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7500 AU|
14 00 00  01.01.2022 | 2459581.04167|   59580.54167| 23 39.2 -18 00         | 174.756 +19.455  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7502 AU|
14 30 00  01.01.2022 | 2459581.06250|   59580.56250| 00 09.3 -18 00         | 182.339 +19.571  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7504 AU|
15 00 00  01.01.2022 | 2459581.08333|   59580.58333| 00 39.3 -18 00         | 189.897 +19.085  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7506 AU|
15 30 00  01.01.2022 | 2459581.10417|   59580.60417| 01 09.4 -18 00         | 197.351 +18.009  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7508 AU|
16 00 00  01.01.2022 | 2459581.12500|   59580.62500| 01 39.5 -18 00         | 204.635 +16.373  | 09 57  18 45 | 120  240   | 14 21  +19.6  |  1.26|   15" |     |  10.7509 AU|
