
Sun
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2022 | 2459580.45833|   59579.95833| 11 49.9 -23 01         | 355.290 -60.512  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
00 30 00  01.01.2022 | 2459580.47917|   59579.97917| 12 19.9 -23 01         | 009.288 -60.327  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
01 00 00  01.01.2022 | 2459580.50000|   59580.00000| 12 49.9 -23 01         | 022.754 -59.062  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
01 30 00  01.01.2022 | 2459580.52083|   59580.02083| 13 19.9 -23 01         | 035.093 -56.847  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
02 00 00  01.01.2022 | 2459580.54167|   59580.04167| 13 49.9 -23 01         | 046.064 -53.871  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
02 30 00  01.01.2022 | 2459580.56250|   59580.06250| 14 19.9 -23 01         | 055.713 -50.323  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
03 00 00  01.01.2022 | 2459580.58333|   59580.08333| 14 49.9 -23 01         | 064.230 -46.366  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
03 30 00  01.01.2022 | 2459580.60417|   59580.10417| 15 19.9 -23 01         | 071.840 -42.128  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
04 00 00  01.01.2022 | 2459580.62500|   59580.12500| 15 49.8 -23 01         | 078.757 -37.709  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
04 30 00  01.01.2022 | 2459580.64583|   59580.14583| 16 19.8 -23 01         | 085.158 -33.185  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
05 00 00  01.01.2022 | 2459580.66667|   59580.16667| 16 49.8 -23 01         | 091.191 -28.619  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
05 30 00  01.01.2022 | 2459580.68750|   59580.18750| 17 19.8 -23 00         | 096.976 -24.062  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
06 00 00  01.01.2022 | 2459580.70833|   59580.20833| 17 49.8 -23 00         | 102.611 -19.560  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
06 30 00  01.01.2022 | 2459580.72917|   59580.22917| 18 19.8 -23 00         | 108.178 -15.155  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
07 00 00  01.01.2022 | 2459580.75000|   59580.25000| 18 49.8 -23 00         | 113.746 -10.888  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
07 30 00  01.01.2022 | 2459580.77083|   59580.27083| 19 19.8 -23 00         | 119.375 -06.801  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
08 00 00  01.01.2022 | 2459580.79167|   59580.29167| 19 49.8 -23 00         | 125.114 -02.936  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
08 30 00  01.01.2022 | 2459580.81250|   59580.31250| 20 19.8 -23 00         | 131.004 +01.044  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
09 00 00  01.01.2022 | 2459580.83333|   59580.33333| 20 49.7 -23 00         | 137.079 +04.132  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
09 30 00  01.01.2022 | 2459580.85417|   59580.35417| 21 19.7 -23 00         | 143.358 +06.993  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
10 00 00  01.01.2022 | 2459580.87500|   59580.37500| 21 49.7 -23 00         | 149.850 +09.481  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
10 30 00  01.01.2022 | 2459580.89583|   59580.39583| 22 19.7 -22 59         | 156.548 +11.528  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
11 00 00  01.01.2022 | 2459580.91667|   59580.41667| 22 49.7 -22 59         | 163.426 +13.084  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
11 30 00  01.01.2022 | 2459580.93750|   59580.43750| 23 19.7 -22 59         | 170.445 +14.114  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
12 00 00  01.01.2022 | 2459580.95833|   59580.45833| 23 49.7 -22 59         | 177.550 +14.592  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
12 30 00  01.01.2022 | 2459580.97917|   59580.47917| 00 19.7 -22 59         | 184.678 +14.505  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
13 00 00  01.01.2022 | 2459581.00000|   59580.50000| 00 49.7 -22 59         | 191.763 +13.856  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
13 30 00  01.01.2022 | 2459581.02083|   59580.52083| 01 19.7 -22 59         | 198.745 +12.662  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
14 00 00  01.01.2022 | 2459581.04167|   59580.54167| 01 49.7 -22 59         | 205.572 +10.950  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
14 30 00  01.01.2022 | 2459581.06250|   59580.56250| 02 19.6 -22 59         | 212.208 +08.763  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
15 00 00  01.01.2022 | 2459581.08333|   59580.58333| 02 49.6 -22 58         | 218.636 +06.152  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
15 30 00  01.01.2022 | 2459581.10417|   59580.60417| 03 19.6 -22 58         | 224.853 +03.198  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
16 00 00  01.01.2022 | 2459581.12500|   59580.62500| 03 49.6 -22 58         | 230.870 +00.114  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
16 30 00  01.01.2022 | 2459581.14583|   59580.64583| 04 19.6 -22 58         | 236.712 -04.093  | 08 17  16 04 | 128  232   | 12 10  +14.6  |      |32.53' |     |   0.9834 AU|
