
Venus
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2019 | 2458484.45833|   58483.95833| 15 06.6 -15 18         | 062.577 -37.786  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6343 AU|
00 30 00  01.01.2019 | 2458484.47917|   58483.97917| 15 36.6 -15 19         | 069.854 -33.608  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6345 AU|
01 00 00  01.01.2019 | 2458484.50000|   58484.00000| 16 06.6 -15 19         | 076.612 -29.238  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6346 AU|
01 30 00  01.01.2019 | 2458484.52083|   58484.02083| 16 36.6 -15 19         | 082.977 -24.745  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6348 AU|
02 00 00  01.01.2019 | 2458484.54167|   58484.04167| 17 06.6 -15 19         | 089.061 -20.191  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6350 AU|
02 30 00  01.01.2019 | 2458484.56250|   58484.06250| 17 36.6 -15 20         | 094.962 -15.629  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6351 AU|
03 00 00  01.01.2019 | 2458484.58333|   58484.08333| 18 06.6 -15 20         | 100.766 -11.107  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6353 AU|
03 30 00  01.01.2019 | 2458484.60417|   58484.10417| 18 36.6 -15 20         | 106.549 -06.671  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6354 AU|
04 00 00  01.01.2019 | 2458484.62500|   58484.12500| 19 06.6 -15 21         | 112.381 -02.367  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6356 AU|
04 30 00  01.01.2019 | 2458484.64583|   58484.14583| 19 36.6 -15 21         | 118.323 +02.046  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6357 AU|
05 00 00  01.01.2019 | 2458484.66667|   58484.16667| 20 06.6 -15 21         | 124.429 +05.797  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6359 AU|
05 30 00  01.01.2019 | 2458484.68750|   58484.18750| 20 36.6 -15 21         | 130.746 +09.365  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6361 AU|
06 00 00  01.01.2019 | 2458484.70833|   58484.20833| 21 06.6 -15 22         | 137.311 +12.624  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.47 |   0.6362 AU|
06 30 00  01.01.2019 | 2458484.72917|   58484.22917| 21 36.6 -15 22         | 144.144 +15.499  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.48 |   0.6364 AU|
07 00 00  01.01.2019 | 2458484.75000|   58484.25000| 22 06.6 -15 22         | 151.252 +17.929  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.48 |   0.6365 AU|
07 30 00  01.01.2019 | 2458484.77083|   58484.27083| 22 36.6 -15 23         | 158.617 +19.856  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.48 |   0.6367 AU|
08 00 00  01.01.2019 | 2458484.79167|   58484.29167| 23 06.6 -15 23         | 166.196 +21.230  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.56|   26" |0.48 |   0.6369 AU|
08 30 00  01.01.2019 | 2458484.81250|   58484.31250| 23 36.6 -15 23         | 173.928 +22.013  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6370 AU|
09 00 00  01.01.2019 | 2458484.83333|   58484.33333| 00 06.6 -15 24         | 181.728 +22.181  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6372 AU|
09 30 00  01.01.2019 | 2458484.85417|   58484.35417| 00 36.6 -15 24         | 189.508 +21.729  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6373 AU|
10 00 00  01.01.2019 | 2458484.87500|   58484.37500| 01 06.6 -15 24         | 197.179 +20.672  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6375 AU|
10 30 00  01.01.2019 | 2458484.89583|   58484.39583| 01 36.6 -15 24         | 204.665 +19.038  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6376 AU|
11 00 00  01.01.2019 | 2458484.91667|   58484.41667| 02 06.6 -15 25         | 211.914 +16.874  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6378 AU|
11 30 00  01.01.2019 | 2458484.93750|   58484.43750| 02 36.6 -15 25         | 218.895 +14.232  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6380 AU|
12 00 00  01.01.2019 | 2458484.95833|   58484.45833| 03 06.6 -15 25         | 225.600 +11.171  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6381 AU|
12 30 00  01.01.2019 | 2458484.97917|   58484.47917| 03 36.6 -15 26         | 232.044 +07.758  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6383 AU|
13 00 00  01.01.2019 | 2458485.00000|   58484.50000| 04 06.6 -15 26         | 238.255 +04.080  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6384 AU|
13 30 00  01.01.2019 | 2458485.02083|   58484.52083| 04 36.6 -15 26         | 244.274 +00.362  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6386 AU|
14 00 00  01.01.2019 | 2458485.04167|   58484.54167| 05 06.6 -15 26         | 250.152 -04.333  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6388 AU|
14 30 00  01.01.2019 | 2458485.06250|   58484.56250| 05 36.6 -15 27         | 255.946 -08.707  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6389 AU|
15 00 00  01.01.2019 | 2458485.08333|   58484.58333| 06 06.6 -15 27         | 261.721 -13.193  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6391 AU|
15 30 00  01.01.2019 | 2458485.10417|   58484.60417| 06 36.6 -15 27         | 267.549 -17.746  | 04 13  13 33 | 115  245   | 08 53  +22.2  | -4.55|   26" |0.48 |   0.6392 AU|
