
Neptune
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2022 | 2459580.45833|   59579.95833| 07 08.1 -04 44         | 280.744 -14.078  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2366 AU|
00 30 00  01.01.2022 | 2459580.47917|   59579.97917| 07 38.1 -04 44         | 287.031 -18.526  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2369 AU|
01 00 00  01.01.2022 | 2459580.50000|   59580.00000| 08 08.2 -04 44         | 293.597 -22.822  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2373 AU|
01 30 00  01.01.2022 | 2459580.52083|   59580.02083| 08 38.3 -04 44         | 300.529 -26.902  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2376 AU|
02 00 00  01.01.2022 | 2459580.54167|   59580.04167| 09 08.4 -04 44         | 307.912 -30.691  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2380 AU|
02 30 00  01.01.2022 | 2459580.56250|   59580.06250| 09 38.5 -04 44         | 315.818 -34.104  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2383 AU|
03 00 00  01.01.2022 | 2459580.58333|   59580.08333| 10 08.5 -04 44         | 324.297 -37.046  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2386 AU|
03 30 00  01.01.2022 | 2459580.60417|   59580.10417| 10 38.6 -04 44         | 333.353 -39.420  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2390 AU|
04 00 00  01.01.2022 | 2459580.62500|   59580.12500| 11 08.7 -04 44         | 342.923 -41.127  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2393 AU|
04 30 00  01.01.2022 | 2459580.64583|   59580.14583| 11 38.8 -04 44         | 352.869 -42.088  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2397 AU|
05 00 00  01.01.2022 | 2459580.66667|   59580.16667| 12 08.9 -04 44         | 002.985 -42.254  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2400 AU|
05 30 00  01.01.2022 | 2459580.68750|   59580.18750| 12 38.9 -04 44         | 013.029 -41.615  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2403 AU|
06 00 00  01.01.2022 | 2459580.70833|   59580.20833| 13 09.0 -04 44         | 022.774 -40.205  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2407 AU|
06 30 00  01.01.2022 | 2459580.72917|   59580.22917| 13 39.1 -04 44         | 032.052 -38.094  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2410 AU|
07 00 00  01.01.2022 | 2459580.75000|   59580.25000| 14 09.2 -04 44         | 040.771 -35.373  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2414 AU|
07 30 00  01.01.2022 | 2459580.77083|   59580.27083| 14 39.3 -04 44         | 048.909 -32.141  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2417 AU|
08 00 00  01.01.2022 | 2459580.79167|   59580.29167| 15 09.4 -04 44         | 056.498 -28.496  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2420 AU|
08 30 00  01.01.2022 | 2459580.81250|   59580.31250| 15 39.4 -04 44         | 063.605 -24.525  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2424 AU|
09 00 00  01.01.2022 | 2459580.83333|   59580.33333| 16 09.5 -04 44         | 070.310 -20.309  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2427 AU|
09 30 00  01.01.2022 | 2459580.85417|   59580.35417| 16 39.6 -04 44         | 076.701 -15.916  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2431 AU|
10 00 00  01.01.2022 | 2459580.87500|   59580.37500| 17 09.7 -04 44         | 082.864 -11.408  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2434 AU|
10 30 00  01.01.2022 | 2459580.89583|   59580.39583| 17 39.8 -04 44         | 088.882 -06.838  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2437 AU|
11 00 00  01.01.2022 | 2459580.91667|   59580.41667| 18 09.8 -04 44         | 094.836 -02.259  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2441 AU|
11 30 00  01.01.2022 | 2459580.93750|   59580.43750| 18 39.9 -04 44         | 100.801 +02.535  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2444 AU|
12 00 00  01.01.2022 | 2459580.95833|   59580.45833| 19 10.0 -04 44         | 106.853 +06.850  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2448 AU|
12 30 00  01.01.2022 | 2459580.97917|   59580.47917| 19 40.1 -04 44         | 113.062 +11.113  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2451 AU|
13 00 00  01.01.2022 | 2459581.00000|   59580.50000| 20 10.2 -04 44         | 119.499 +15.200  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2454 AU|
13 30 00  01.01.2022 | 2459581.02083|   59580.52083| 20 40.2 -04 44         | 126.228 +19.037  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2458 AU|
14 00 00  01.01.2022 | 2459581.04167|   59580.54167| 21 10.3 -04 44         | 133.305 +22.552  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2461 AU|
14 30 00  01.01.2022 | 2459581.06250|   59580.56250| 21 40.4 -04 44         | 140.769 +25.670  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2465 AU|
15 00 00  01.01.2022 | 2459581.08333|   59580.58333| 22 10.5 -04 44         | 148.637 +28.315  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2468 AU|
15 30 00  01.01.2022 | 2459581.10417|   59580.60417| 22 40.6 -04 44         | 156.893 +30.411  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2471 AU|
16 00 00  01.01.2022 | 2459581.12500|   59580.62500| 23 10.6 -04 44         | 165.478 +31.888  | 11 11  22 27 | 097  263   | 16 49  +32.8  |  7.92|    2" |     |  30.2475 AU|
