
Moon
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2025 | 2460676.45833|   60675.95833| 10 53.1 -26 24         | 327.772 -61.085  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.84' |0.01 |   387449 km|
00 30 00  01.01.2025 | 2460676.47917|   60675.97917| 11 21.6 -26 20         | 340.853 -62.913  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.84' |0.01 |   387474 km|
01 00 00  01.01.2025 | 2460676.50000|   60676.00000| 11 50.2 -26 17         | 355.012 -63.763  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.84' |0.01 |   387446 km|
01 30 00  01.01.2025 | 2460676.52083|   60676.02083| 12 18.7 -26 13         | 009.453 -63.535  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.85' |0.01 |   387364 km|
02 00 00  01.01.2025 | 2460676.54167|   60676.04167| 12 47.3 -26 10         | 023.253 -62.253  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.86' |0.01 |   387227 km|
02 30 00  01.01.2025 | 2460676.56250|   60676.06250| 13 15.8 -26 07         | 035.761 -60.057  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.88' |0.01 |   387036 km|
03 00 00  01.01.2025 | 2460676.58333|   60676.08333| 13 44.4 -26 04         | 046.750 -57.140  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.90' |0.02 |   386794 km|
03 30 00  01.01.2025 | 2460676.60417|   60676.10417| 14 13.0 -26 01         | 056.309 -53.690  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.92' |0.02 |   386503 km|
04 00 00  01.01.2025 | 2460676.62500|   60676.12500| 14 41.6 -25 59         | 064.669 -49.861  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.95' |0.02 |   386165 km|
04 30 00  01.01.2025 | 2460676.64583|   60676.14583| 15 10.2 -25 56         | 072.086 -45.773  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |30.98' |0.02 |   385786 km|
05 00 00  01.01.2025 | 2460676.66667|   60676.16667| 15 38.9 -25 54         | 078.785 -41.517  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.01' |0.02 |   385370 km|
05 30 00  01.01.2025 | 2460676.68750|   60676.18750| 16 07.6 -25 52         | 084.952 -37.162  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.05' |0.02 |   384921 km|
06 00 00  01.01.2025 | 2460676.70833|   60676.20833| 16 36.4 -25 49         | 090.737 -32.761  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.08' |0.02 |   384447 km|
06 30 00  01.01.2025 | 2460676.72917|   60676.22917| 17 05.2 -25 47         | 096.259 -28.360  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.12' |0.02 |   383952 km|
07 00 00  01.01.2025 | 2460676.75000|   60676.25000| 17 34.0 -25 45         | 101.614 -23.997  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.17' |0.02 |   383445 km|
07 30 00  01.01.2025 | 2460676.77083|   60676.27083| 18 02.8 -25 43         | 106.879 -19.710  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.21' |0.02 |   382930 km|
08 00 00  01.01.2025 | 2460676.79167|   60676.29167| 18 31.7 -25 41         | 112.120 -15.532  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.25' |0.02 |   382416 km|
08 30 00  01.01.2025 | 2460676.81250|   60676.31250| 19 00.7 -25 39         | 117.393 -11.499  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.29' |0.02 |   381910 km|
09 00 00  01.01.2025 | 2460676.83333|   60676.33333| 19 29.7 -25 36         | 122.745 -07.646  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.33' |0.02 |   381418 km|
09 30 00  01.01.2025 | 2460676.85417|   60676.35417| 19 58.7 -25 34         | 128.217 -04.011  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.37' |0.02 |   380947 km|
10 00 00  01.01.2025 | 2460676.87500|   60676.37500| 20 27.8 -25 31         | 133.840 -00.074  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.41' |0.02 |   380503 km|
10 30 00  01.01.2025 | 2460676.89583|   60676.39583| 20 56.9 -25 29         | 139.640 +02.693  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.44' |0.02 |   380093 km|
11 00 00  01.01.2025 | 2460676.91667|   60676.41667| 21 26.0 -25 26         | 145.631 +05.337  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.47' |0.03 |   379722 km|
11 30 00  01.01.2025 | 2460676.93750|   60676.43750| 21 55.2 -25 22         | 151.818 +07.654  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.50' |0.03 |   379395 km|
12 00 00  01.01.2025 | 2460676.95833|   60676.45833| 22 24.3 -25 19         | 158.190 +09.568  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.52' |0.03 |   379116 km|
12 30 00  01.01.2025 | 2460676.97917|   60676.47917| 22 53.5 -25 15         | 164.727 +11.033  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.54' |0.03 |   378888 km|
13 00 00  01.01.2025 | 2460677.00000|   60676.50000| 23 22.7 -25 11         | 171.391 +12.014  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.55' |0.03 |   378714 km|
13 30 00  01.01.2025 | 2460677.02083|   60676.52083| 23 52.0 -25 07         | 178.138 +12.489  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.56' |0.03 |   378596 km|
14 00 00  01.01.2025 | 2460677.04167|   60676.54167| 00 21.2 -25 02         | 184.912 +12.448  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.57' |0.03 |   378535 km|
14 30 00  01.01.2025 | 2460677.06250|   60676.56250| 00 50.4 -24 57         | 191.658 +11.890  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.57' |0.03 |   378530 km|
15 00 00  01.01.2025 | 2460677.08333|   60676.58333| 01 19.6 -24 52         | 198.323 +10.830  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.57' |0.03 |   378581 km|
15 30 00  01.01.2025 | 2460677.10417|   60676.60417| 01 48.8 -24 47         | 204.863 +09.292  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.56' |0.03 |   378685 km|
16 00 00  01.01.2025 | 2460677.12500|   60676.62500| 02 18.0 -24 41         | 211.244 +07.313  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.54' |0.03 |   378840 km|
16 30 00  01.01.2025 | 2460677.14583|   60676.64583| 02 47.1 -24 35         | 217.447 +04.943  | 09 58  17 27 | 134  229   | 13 38  +12.5  |      |31.53' |0.03 |   379042 km|
