
Mars
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2023 | 2459945.45833|   59944.95833| 02 07.0 +24 35         | 233.086 +53.250  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6381 AU|
00 30 00  01.01.2023 | 2459945.47917|   59944.97917| 02 37.1 +24 35         | 242.122 +49.379  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6383 AU|
01 00 00  01.01.2023 | 2459945.50000|   59945.00000| 03 07.2 +24 35         | 250.101 +45.188  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6384 AU|
01 30 00  01.01.2023 | 2459945.52083|   59945.02083| 03 37.3 +24 35         | 257.270 +40.791  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6385 AU|
02 00 00  01.01.2023 | 2459945.54167|   59945.04167| 04 07.4 +24 35         | 263.837 +36.272  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6386 AU|
02 30 00  01.01.2023 | 2459945.56250|   59945.06250| 04 37.5 +24 35         | 269.972 +31.699  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6388 AU|
03 00 00  01.01.2023 | 2459945.58333|   59945.08333| 05 07.6 +24 35         | 275.810 +27.126  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.22|   15" |0.97 |   0.6389 AU|
03 30 00  01.01.2023 | 2459945.60417|   59945.10417| 05 37.7 +24 35         | 281.459 +22.601  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6390 AU|
04 00 00  01.01.2023 | 2459945.62500|   59945.12500| 06 07.8 +24 35         | 287.010 +18.168  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6391 AU|
04 30 00  01.01.2023 | 2459945.64583|   59945.14583| 06 37.9 +24 35         | 292.534 +13.870  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6392 AU|
05 00 00  01.01.2023 | 2459945.66667|   59945.16667| 07 08.0 +24 35         | 298.095 +09.751  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6394 AU|
05 30 00  01.01.2023 | 2459945.68750|   59945.18750| 07 38.1 +24 35         | 303.744 +05.868  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6395 AU|
06 00 00  01.01.2023 | 2459945.70833|   59945.20833| 08 08.2 +24 35         | 309.526 +02.319  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6396 AU|
06 30 00  01.01.2023 | 2459945.72917|   59945.22917| 08 38.3 +24 35         | 315.475 -00.642  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6397 AU|
07 00 00  01.01.2023 | 2459945.75000|   59945.25000| 09 08.4 +24 35         | 321.614 -04.366  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6399 AU|
07 30 00  01.01.2023 | 2459945.77083|   59945.27083| 09 38.5 +24 35         | 327.955 -07.011  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6400 AU|
08 00 00  01.01.2023 | 2459945.79167|   59945.29167| 10 08.5 +24 35         | 334.497 -09.218  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6401 AU|
08 30 00  01.01.2023 | 2459945.81250|   59945.31250| 10 38.6 +24 35         | 341.220 -10.947  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6402 AU|
09 00 00  01.01.2023 | 2459945.83333|   59945.33333| 11 08.7 +24 35         | 348.092 -12.161  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6403 AU|
09 30 00  01.01.2023 | 2459945.85417|   59945.35417| 11 38.8 +24 35         | 355.066 -12.833  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6405 AU|
10 00 00  01.01.2023 | 2459945.87500|   59945.37500| 12 08.9 +24 35         | 002.083 -12.947  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6406 AU|
10 30 00  01.01.2023 | 2459945.89583|   59945.39583| 12 39.0 +24 35         | 009.082 -12.501  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.21|   15" |0.97 |   0.6407 AU|
11 00 00  01.01.2023 | 2459945.91667|   59945.41667| 13 09.1 +24 35         | 016.002 -11.506  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6408 AU|
11 30 00  01.01.2023 | 2459945.93750|   59945.43750| 13 39.2 +24 35         | 022.791 -09.983  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6410 AU|
12 00 00  01.01.2023 | 2459945.95833|   59945.45833| 14 09.3 +24 35         | 029.409 -07.966  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6411 AU|
12 30 00  01.01.2023 | 2459945.97917|   59945.47917| 14 39.4 +24 35         | 035.833 -05.495  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6412 AU|
13 00 00  01.01.2023 | 2459946.00000|   59945.50000| 15 09.5 +24 35         | 042.055 -02.613  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6413 AU|
13 30 00  01.01.2023 | 2459946.02083|   59945.52083| 15 39.6 +24 35         | 048.079 +01.017  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6414 AU|
14 00 00  01.01.2023 | 2459946.04167|   59945.54167| 16 09.7 +24 35         | 053.926 +04.371  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6416 AU|
14 30 00  01.01.2023 | 2459946.06250|   59945.56250| 16 39.8 +24 35         | 059.625 +08.134  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6417 AU|
15 00 00  01.01.2023 | 2459946.08333|   59945.58333| 17 09.9 +24 35         | 065.217 +12.164  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6418 AU|
15 30 00  01.01.2023 | 2459946.10417|   59945.60417| 17 40.0 +24 35         | 070.750 +16.395  | 13 19  06 23 | 046  314   | 21 49  +62.1  | -1.20|   15" |0.97 |   0.6419 AU|
