
Mercury
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2020 | 2458849.45833|   58848.95833| 12 14.5 -24 38         | 007.053 -62.049  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.96|    5" |0.99 |   1.4339 AU|
00 30 00  01.01.2020 | 2458849.47917|   58848.97917| 12 44.5 -24 38         | 021.143 -60.936  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.96|    5" |0.99 |   1.4340 AU|
01 00 00  01.01.2020 | 2458849.50000|   58849.00000| 13 14.4 -24 38         | 034.052 -58.820  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.96|    5" |0.99 |   1.4340 AU|
01 30 00  01.01.2020 | 2458849.52083|   58849.02083| 13 44.3 -24 38         | 045.467 -55.900  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.96|    5" |0.99 |   1.4341 AU|
02 00 00  01.01.2020 | 2458849.54167|   58849.04167| 14 14.3 -24 38         | 055.424 -52.382  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4341 AU|
02 30 00  01.01.2020 | 2458849.56250|   58849.06250| 14 44.2 -24 38         | 064.138 -48.442  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4341 AU|
03 00 00  01.01.2020 | 2458849.58333|   58849.08333| 15 14.1 -24 38         | 071.866 -44.214  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4342 AU|
03 30 00  01.01.2020 | 2458849.60417|   58849.10417| 15 44.1 -24 38         | 078.842 -39.803  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4342 AU|
04 00 00  01.01.2020 | 2458849.62500|   58849.12500| 16 14.0 -24 38         | 085.264 -35.288  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4343 AU|
04 30 00  01.01.2020 | 2458849.64583|   58849.14583| 16 44.0 -24 39         | 091.291 -30.731  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4343 AU|
05 00 00  01.01.2020 | 2458849.66667|   58849.16667| 17 13.9 -24 39         | 097.048 -26.185  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4344 AU|
05 30 00  01.01.2020 | 2458849.68750|   58849.18750| 17 43.8 -24 39         | 102.640 -21.693  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4344 AU|
06 00 00  01.01.2020 | 2458849.70833|   58849.20833| 18 13.8 -24 39         | 108.148 -17.297  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4345 AU|
06 30 00  01.01.2020 | 2458849.72917|   58849.22917| 18 43.7 -24 39         | 113.645 -13.038  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4345 AU|
07 00 00  01.01.2020 | 2458849.75000|   58849.25000| 19 13.6 -24 39         | 119.187 -08.955  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4346 AU|
07 30 00  01.01.2020 | 2458849.77083|   58849.27083| 19 43.6 -24 39         | 124.827 -05.089  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4346 AU|
08 00 00  01.01.2020 | 2458849.79167|   58849.29167| 20 13.5 -24 39         | 130.604 -00.763  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4347 AU|
08 30 00  01.01.2020 | 2458849.81250|   58849.31250| 20 43.5 -24 39         | 136.551 +02.105  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4347 AU|
09 00 00  01.01.2020 | 2458849.83333|   58849.33333| 21 13.4 -24 39         | 142.688 +04.936  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4347 AU|
09 30 00  01.01.2020 | 2458849.85417|   58849.35417| 21 43.3 -24 39         | 149.026 +07.449  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4348 AU|
10 00 00  01.01.2020 | 2458849.87500|   58849.37500| 22 13.3 -24 39         | 155.559 +09.546  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.97|    5" |0.99 |   1.4348 AU|
10 30 00  01.01.2020 | 2458849.89583|   58849.39583| 22 43.2 -24 39         | 162.268 +11.174  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4349 AU|
11 00 00  01.01.2020 | 2458849.91667|   58849.41667| 23 13.1 -24 39         | 169.117 +12.294  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4349 AU|
11 30 00  01.01.2020 | 2458849.93750|   58849.43750| 23 43.1 -24 39         | 176.059 +12.879  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4350 AU|
12 00 00  01.01.2020 | 2458849.95833|   58849.45833| 00 13.0 -24 39         | 183.034 +12.915  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4350 AU|
12 30 00  01.01.2020 | 2458849.97917|   58849.47917| 00 43.0 -24 39         | 189.984 +12.400  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4350 AU|
13 00 00  01.01.2020 | 2458850.00000|   58849.50000| 01 12.9 -24 39         | 196.847 +11.347  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4351 AU|
13 30 00  01.01.2020 | 2458850.02083|   58849.52083| 01 42.8 -24 39         | 203.576 +09.782  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4351 AU|
14 00 00  01.01.2020 | 2458850.04167|   58849.54167| 02 12.8 -24 39         | 210.133 +07.743  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4352 AU|
14 30 00  01.01.2020 | 2458850.06250|   58849.56250| 02 42.7 -24 39         | 216.496 +05.279  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4352 AU|
15 00 00  01.01.2020 | 2458850.08333|   58849.58333| 03 12.6 -24 39         | 222.659 +02.480  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4353 AU|
15 30 00  01.01.2020 | 2458850.10417|   58849.60417| 03 42.6 -24 39         | 228.628 -00.407  | 08 08  15 26 | 132  228   | 11 47  +13.0  | -0.98|    5" |0.99 |   1.4353 AU|
