
Neptune
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2023 | 2459945.45833|   59944.95833| 06 58.9 -03 55         | 279.381 -12.050  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1886 AU|
00 30 00  01.01.2023 | 2459945.47917|   59944.97917| 07 29.0 -03 55         | 285.599 -16.523  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1890 AU|
01 00 00  01.01.2023 | 2459945.50000|   59945.00000| 07 59.1 -03 55         | 292.065 -20.859  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1893 AU|
01 30 00  01.01.2023 | 2459945.52083|   59945.02083| 08 29.2 -03 55         | 298.864 -24.996  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1897 AU|
02 00 00  01.01.2023 | 2459945.54167|   59945.04167| 08 59.2 -03 55         | 306.080 -28.861  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1900 AU|
02 30 00  01.01.2023 | 2459945.56250|   59945.06250| 09 29.3 -03 55         | 313.787 -32.375  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1903 AU|
03 00 00  01.01.2023 | 2459945.58333|   59945.08333| 09 59.4 -03 55         | 322.039 -35.447  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1907 AU|
03 30 00  01.01.2023 | 2459945.60417|   59945.10417| 10 29.5 -03 55         | 330.853 -37.981  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1910 AU|
04 00 00  01.01.2023 | 2459945.62500|   59945.12500| 10 59.6 -03 55         | 340.189 -39.880  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1914 AU|
04 30 00  01.01.2023 | 2459945.64583|   59945.14583| 11 29.6 -03 55         | 349.934 -41.062  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1917 AU|
05 00 00  01.01.2023 | 2459945.66667|   59945.16667| 11 59.7 -03 55         | 359.906 -41.468  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1921 AU|
05 30 00  01.01.2023 | 2459945.68750|   59945.18750| 12 29.8 -03 55         | 009.880 -41.077  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1924 AU|
06 00 00  01.01.2023 | 2459945.70833|   59945.20833| 12 59.9 -03 55         | 019.631 -39.909  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1928 AU|
06 30 00  01.01.2023 | 2459945.72917|   59945.22917| 13 30.0 -03 55         | 028.976 -38.022  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1931 AU|
07 00 00  01.01.2023 | 2459945.75000|   59945.25000| 14 00.0 -03 55         | 037.800 -35.499  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1934 AU|
07 30 00  01.01.2023 | 2459945.77083|   59945.27083| 14 30.1 -03 55         | 046.063 -32.436  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1938 AU|
08 00 00  01.01.2023 | 2459945.79167|   59945.29167| 15 00.2 -03 55         | 053.779 -28.929  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1941 AU|
08 30 00  01.01.2023 | 2459945.81250|   59945.31250| 15 30.3 -03 55         | 061.003 -25.069  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1945 AU|
09 00 00  01.01.2023 | 2459945.83333|   59945.33333| 16 00.4 -03 55         | 067.809 -20.937  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1948 AU|
09 30 00  01.01.2023 | 2459945.85417|   59945.35417| 16 30.4 -03 55         | 074.280 -16.604  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1952 AU|
10 00 00  01.01.2023 | 2459945.87500|   59945.37500| 17 00.5 -03 55         | 080.502 -12.133  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1955 AU|
10 30 00  01.01.2023 | 2459945.89583|   59945.39583| 17 30.6 -03 55         | 086.557 -07.581  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1959 AU|
11 00 00  01.01.2023 | 2459945.91667|   59945.41667| 18 00.7 -03 55         | 092.526 -03.000  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1962 AU|
11 30 00  01.01.2023 | 2459945.93750|   59945.43750| 18 30.8 -03 55         | 098.485 +01.862  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1965 AU|
12 00 00  01.01.2023 | 2459945.95833|   59945.45833| 19 00.9 -03 55         | 104.511 +06.184  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1969 AU|
12 30 00  01.01.2023 | 2459945.97917|   59945.47917| 19 30.9 -03 55         | 110.677 +10.500  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1972 AU|
13 00 00  01.01.2023 | 2459946.00000|   59945.50000| 20 01.0 -03 55         | 117.054 +14.667  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1976 AU|
13 30 00  01.01.2023 | 2459946.02083|   59945.52083| 20 31.1 -03 55         | 123.710 +18.606  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1979 AU|
14 00 00  01.01.2023 | 2459946.04167|   59945.54167| 21 01.2 -03 55         | 130.705 +22.248  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1983 AU|
14 30 00  01.01.2023 | 2459946.06250|   59945.56250| 21 31.3 -03 55         | 138.088 +25.517  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1986 AU|
15 00 00  01.01.2023 | 2459946.08333|   59945.58333| 22 01.3 -03 55         | 145.885 +28.336  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1990 AU|
15 30 00  01.01.2023 | 2459946.10417|   59945.60417| 22 31.4 -03 55         | 154.092 +30.626  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1993 AU|
16 00 00  01.01.2023 | 2459946.12500|   59945.62500| 23 01.5 -03 55         | 162.663 +32.314  | 11 16  22 41 | 096  264   | 16 58  +33.7  |  7.92|    2" |     |  30.1996 AU|
