
Jupiter
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2025 | 2460676.41667|   60675.91667| 00 48.9 +21 47         | 201.734 +57.935  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1899 AU|
00 30 00  01.01.2025 | 2460676.43750|   60675.93750| 01 19.0 +21 47         | 213.914 +55.793  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1901 AU|
01 00 00  01.01.2025 | 2460676.45833|   60675.95833| 01 49.1 +21 47         | 224.821 +52.883  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1902 AU|
01 30 00  01.01.2025 | 2460676.47917|   60675.97917| 02 19.2 +21 47         | 234.471 +49.390  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1904 AU|
02 00 00  01.01.2025 | 2460676.50000|   60676.00000| 02 49.3 +21 47         | 243.027 +45.472  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1906 AU|
02 30 00  01.01.2025 | 2460676.52083|   60676.02083| 03 19.4 +21 47         | 250.696 +41.259  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1907 AU|
03 00 00  01.01.2025 | 2460676.54167|   60676.04167| 03 49.5 +21 47         | 257.676 +36.853  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1909 AU|
03 30 00  01.01.2025 | 2460676.56250|   60676.06250| 04 19.5 +21 47         | 264.143 +32.331  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1910 AU|
04 00 00  01.01.2025 | 2460676.58333|   60676.08333| 04 49.6 +21 47         | 270.240 +27.758  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1912 AU|
04 30 00  01.01.2025 | 2460676.60417|   60676.10417| 05 19.7 +21 47         | 276.087 +23.189  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1914 AU|
05 00 00  01.01.2025 | 2460676.62500|   60676.12500| 05 49.8 +21 47         | 281.783 +18.672  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1915 AU|
05 30 00  01.01.2025 | 2460676.64583|   60676.14583| 06 19.9 +21 47         | 287.410 +14.252  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1917 AU|
06 00 00  01.01.2025 | 2460676.66667|   60676.16667| 06 50.0 +21 47         | 293.039 +09.977  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.69|   47" |     |   4.1919 AU|
06 30 00  01.01.2025 | 2460676.68750|   60676.18750| 07 20.1 +21 47         | 298.731 +05.905  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1920 AU|
07 00 00  01.01.2025 | 2460676.70833|   60676.20833| 07 50.2 +21 47         | 304.538 +02.144  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1922 AU|
07 30 00  01.01.2025 | 2460676.72917|   60676.22917| 08 20.3 +21 47         | 310.503 -00.996  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1923 AU|
08 00 00  01.01.2025 | 2460676.75000|   60676.25000| 08 50.4 +21 47         | 316.660 -05.093  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1925 AU|
08 30 00  01.01.2025 | 2460676.77083|   60676.27083| 09 20.5 +21 47         | 323.031 -08.050  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1927 AU|
09 00 00  01.01.2025 | 2460676.79167|   60676.29167| 09 50.6 +21 47         | 329.625 -10.592  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1928 AU|
09 30 00  01.01.2025 | 2460676.81250|   60676.31250| 10 20.6 +21 47         | 336.434 -12.671  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1930 AU|
10 00 00  01.01.2025 | 2460676.83333|   60676.33333| 10 50.7 +21 47         | 343.432 -14.245  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1932 AU|
10 30 00  01.01.2025 | 2460676.85417|   60676.35417| 11 20.8 +21 47         | 350.576 -15.276  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1933 AU|
11 00 00  01.01.2025 | 2460676.87500|   60676.37500| 11 50.9 +21 47         | 357.810 -15.740  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1935 AU|
11 30 00  01.01.2025 | 2460676.89583|   60676.39583| 12 21.0 +21 47         | 005.064 -15.625  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1937 AU|
12 00 00  01.01.2025 | 2460676.91667|   60676.41667| 12 51.1 +21 47         | 012.270 -14.935  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1938 AU|
12 30 00  01.01.2025 | 2460676.93750|   60676.43750| 13 21.2 +21 47         | 019.363 -13.685  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1940 AU|
13 00 00  01.01.2025 | 2460676.95833|   60676.45833| 13 51.3 +21 47         | 026.290 -11.907  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1941 AU|
13 30 00  01.01.2025 | 2460676.97917|   60676.47917| 14 21.4 +21 47         | 033.016 -09.639  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1943 AU|
14 00 00  01.01.2025 | 2460677.00000|   60676.50000| 14 51.5 +21 47         | 039.521 -06.927  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1945 AU|
14 30 00  01.01.2025 | 2460677.02083|   60676.52083| 15 21.6 +21 47         | 045.806 -03.820  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1946 AU|
15 00 00  01.01.2025 | 2460677.04167|   60676.54167| 15 51.6 +21 47         | 051.884 +00.147  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1948 AU|
15 30 00  01.01.2025 | 2460677.06250|   60676.56250| 16 21.7 +21 47         | 057.782 +03.582  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1950 AU|
16 00 00  01.01.2025 | 2460677.08333|   60676.58333| 16 51.8 +21 47         | 063.538 +07.486  | 14 58  07 20 | 052  308   | 23 07  +59.3  | -2.68|   47" |     |   4.1951 AU|
