
Neptune
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2020 | 2458849.45833|   58848.95833| 07 22.5 -06 22         | 282.718 -17.530  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3119 AU|
00 30 00  01.01.2020 | 2458849.47917|   58848.97917| 07 52.6 -06 22         | 289.135 -21.936  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3123 AU|
01 00 00  01.01.2020 | 2458849.50000|   58849.00000| 08 22.6 -06 22         | 295.883 -26.168  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3126 AU|
01 30 00  01.01.2020 | 2458849.52083|   58849.02083| 08 52.7 -06 22         | 303.056 -30.157  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3129 AU|
02 00 00  01.01.2020 | 2458849.54167|   58849.04167| 09 22.8 -06 22         | 310.740 -33.822  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3133 AU|
02 30 00  01.01.2020 | 2458849.56250|   58849.06250| 09 52.9 -06 22         | 319.008 -37.069  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3136 AU|
03 00 00  01.01.2020 | 2458849.58333|   58849.08333| 10 23.0 -06 22         | 327.896 -39.799  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3139 AU|
03 30 00  01.01.2020 | 2458849.60417|   58849.10417| 10 53.0 -06 22         | 337.382 -41.906  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3143 AU|
04 00 00  01.01.2020 | 2458849.62500|   58849.12500| 11 23.1 -06 22         | 347.365 -43.295  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3146 AU|
04 30 00  01.01.2020 | 2458849.64583|   58849.14583| 11 53.2 -06 22         | 357.658 -43.892  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3149 AU|
05 00 00  01.01.2020 | 2458849.66667|   58849.16667| 12 23.3 -06 22         | 008.011 -43.665  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3153 AU|
05 30 00  01.01.2020 | 2458849.68750|   58849.18750| 12 53.4 -06 22         | 018.162 -42.627  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3156 AU|
06 00 00  01.01.2020 | 2458849.70833|   58849.20833| 13 23.5 -06 22         | 027.891 -40.833  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3159 AU|
06 30 00  01.01.2020 | 2458849.72917|   58849.22917| 13 53.5 -06 22         | 037.055 -38.371  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3163 AU|
07 00 00  01.01.2020 | 2458849.75000|   58849.25000| 14 23.6 -06 22         | 045.601 -35.344  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3166 AU|
07 30 00  01.01.2020 | 2458849.77083|   58849.27083| 14 53.7 -06 22         | 053.541 -31.856  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3169 AU|
08 00 00  01.01.2020 | 2458849.79167|   58849.29167| 15 23.8 -06 22         | 060.935 -28.002  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3172 AU|
08 30 00  01.01.2020 | 2458849.81250|   58849.31250| 15 53.9 -06 22         | 067.863 -23.870  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3176 AU|
09 00 00  01.01.2020 | 2458849.83333|   58849.33333| 16 23.9 -06 22         | 074.418 -19.534  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3179 AU|
09 30 00  01.01.2020 | 2458849.85417|   58849.35417| 16 54.0 -06 22         | 080.691 -15.061  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3182 AU|
10 00 00  01.01.2020 | 2458849.87500|   58849.37500| 17 24.1 -06 22         | 086.770 -10.507  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3186 AU|
10 30 00  01.01.2020 | 2458849.89583|   58849.39583| 17 54.2 -06 22         | 092.738 -05.926  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3189 AU|
11 00 00  01.01.2020 | 2458849.91667|   58849.41667| 18 24.3 -06 22         | 098.674 -00.671  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3192 AU|
11 30 00  01.01.2020 | 2458849.93750|   58849.43750| 18 54.3 -06 22         | 104.653 +03.334  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3196 AU|
12 00 00  01.01.2020 | 2458849.95833|   58849.45833| 19 24.4 -06 22         | 110.748 +07.596  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3199 AU|
12 30 00  01.01.2020 | 2458849.97917|   58849.47917| 19 54.5 -06 22         | 117.026 +11.748  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3202 AU|
13 00 00  01.01.2020 | 2458850.00000|   58849.50000| 20 24.6 -06 22         | 123.553 +15.686  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3205 AU|
13 30 00  01.01.2020 | 2458850.02083|   58849.52083| 20 54.7 -06 22         | 130.385 +19.336  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3209 AU|
14 00 00  01.01.2020 | 2458850.04167|   58849.54167| 21 24.7 -06 22         | 137.569 +22.627  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3212 AU|
14 30 00  01.01.2020 | 2458850.06250|   58849.56250| 21 54.8 -06 22         | 145.129 +25.484  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3215 AU|
15 00 00  01.01.2020 | 2458850.08333|   58849.58333| 22 24.9 -06 22         | 153.066 +27.835  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3219 AU|
15 30 00  01.01.2020 | 2458850.10417|   58849.60417| 22 55.0 -06 22         | 161.345 +29.609  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3222 AU|
16 00 00  01.01.2020 | 2458850.12500|   58849.62500| 23 25.1 -06 22         | 169.889 +30.747  | 11 05  22 04 | 100  260   | 16 35  +31.2  |  7.93|    2" |     |  30.3225 AU|
