
Mercury
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2023 | 2459945.45833|   59944.95833| 10 52.9 -20 31         | 331.458 -55.522  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.12|    9" |0.17 |   0.7499 AU|
00 30 00  01.01.2023 | 2459945.47917|   59944.97917| 11 23.0 -20 31         | 343.828 -57.267  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.13|    9" |0.17 |   0.7495 AU|
01 00 00  01.01.2023 | 2459945.50000|   59945.00000| 11 53.1 -20 30         | 356.955 -58.030  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.14|    9" |0.16 |   0.7491 AU|
01 30 00  01.01.2023 | 2459945.52083|   59945.02083| 12 23.2 -20 30         | 010.235 -57.736  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.15|    9" |0.16 |   0.7487 AU|
02 00 00  01.01.2023 | 2459945.54167|   59945.04167| 12 53.4 -20 30         | 023.007 -56.416  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.16|    9" |0.16 |   0.7483 AU|
02 30 00  01.01.2023 | 2459945.56250|   59945.06250| 13 23.5 -20 30         | 034.788 -54.190  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.17|    9" |0.16 |   0.7479 AU|
03 00 00  01.01.2023 | 2459945.58333|   59945.08333| 13 53.6 -20 29         | 045.374 -51.228  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.18|    9" |0.16 |   0.7475 AU|
03 30 00  01.01.2023 | 2459945.60417|   59945.10417| 14 23.8 -20 29         | 054.792 -47.702  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.19|    9" |0.16 |   0.7470 AU|
04 00 00  01.01.2023 | 2459945.62500|   59945.12500| 14 53.9 -20 29         | 063.191 -43.763  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.20|    9" |0.16 |   0.7466 AU|
04 30 00  01.01.2023 | 2459945.64583|   59945.14583| 15 24.0 -20 28         | 070.760 -39.535  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.21|    9" |0.16 |   0.7462 AU|
05 00 00  01.01.2023 | 2459945.66667|   59945.16667| 15 54.2 -20 28         | 077.684 -35.115  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.22|    9" |0.16 |   0.7458 AU|
05 30 00  01.01.2023 | 2459945.68750|   59945.18750| 16 24.3 -20 28         | 084.125 -30.580  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.23|    9" |0.16 |   0.7454 AU|
06 00 00  01.01.2023 | 2459945.70833|   59945.20833| 16 54.4 -20 28         | 090.220 -25.993  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.24|    9" |0.16 |   0.7450 AU|
06 30 00  01.01.2023 | 2459945.72917|   59945.22917| 17 24.6 -20 27         | 096.082 -21.407  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.25|    9" |0.15 |   0.7446 AU|
07 00 00  01.01.2023 | 2459945.75000|   59945.25000| 17 54.7 -20 27         | 101.807 -16.870  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.26|    9" |0.15 |   0.7442 AU|
07 30 00  01.01.2023 | 2459945.77083|   59945.27083| 18 24.8 -20 27         | 107.477 -12.425  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.28|    9" |0.15 |   0.7438 AU|
08 00 00  01.01.2023 | 2459945.79167|   59945.29167| 18 55.0 -20 27         | 113.162 -08.117  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.29|    9" |0.15 |   0.7434 AU|
08 30 00  01.01.2023 | 2459945.81250|   59945.31250| 19 25.1 -20 26         | 118.922 -03.990  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.30|    9" |0.15 |   0.7430 AU|
09 00 00  01.01.2023 | 2459945.83333|   59945.33333| 19 55.3 -20 26         | 124.810 +00.387  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.31|    9" |0.15 |   0.7426 AU|
09 30 00  01.01.2023 | 2459945.85417|   59945.35417| 20 25.4 -20 26         | 130.869 +03.740  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.32|    9" |0.15 |   0.7422 AU|
10 00 00  01.01.2023 | 2459945.87500|   59945.37500| 20 55.5 -20 25         | 137.134 +06.969  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.33|    9" |0.15 |   0.7418 AU|
10 30 00  01.01.2023 | 2459945.89583|   59945.39583| 21 25.7 -20 25         | 143.626 +09.869  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.34|    9" |0.15 |   0.7414 AU|
11 00 00  01.01.2023 | 2459945.91667|   59945.41667| 21 55.8 -20 25         | 150.352 +12.358  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.35|    9" |0.15 |   0.7410 AU|
11 30 00  01.01.2023 | 2459945.93750|   59945.43750| 22 26.0 -20 25         | 157.302 +14.378  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.36|    9" |0.15 |   0.7406 AU|
12 00 00  01.01.2023 | 2459945.95833|   59945.45833| 22 56.1 -20 24         | 164.447 +15.881  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.37|    9" |0.14 |   0.7402 AU|
12 30 00  01.01.2023 | 2459945.97917|   59945.47917| 23 26.2 -20 24         | 171.738 +16.830  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.38|    9" |0.14 |   0.7398 AU|
13 00 00  01.01.2023 | 2459946.00000|   59945.50000| 23 56.4 -20 24         | 179.112 +17.199  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.39|    9" |0.14 |   0.7394 AU|
13 30 00  01.01.2023 | 2459946.02083|   59945.52083| 00 26.5 -20 24         | 186.495 +16.980  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.41|    9" |0.14 |   0.7390 AU|
14 00 00  01.01.2023 | 2459946.04167|   59945.54167| 00 56.7 -20 23         | 193.814 +16.177  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.42|    9" |0.14 |   0.7386 AU|
14 30 00  01.01.2023 | 2459946.06250|   59945.56250| 01 26.8 -20 23         | 201.003 +14.813  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.43|    9" |0.14 |   0.7382 AU|
15 00 00  01.01.2023 | 2459946.08333|   59945.58333| 01 56.9 -20 23         | 208.009 +12.921  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.44|    9" |0.14 |   0.7378 AU|
15 30 00  01.01.2023 | 2459946.10417|   59945.60417| 02 27.1 -20 22         | 214.797 +10.547  | 08 56  17 12 | 124  236   | 13 04  +17.2  |  1.45|    9" |0.14 |   0.7374 AU|
