
Mars
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2028 | 2461771.45833|   61770.95833| 10 33.0 -21 40         | 323.122 -54.962  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2962 AU|
00 30 00  01.01.2028 | 2461771.47917|   61770.97917| 11 03.0 -21 40         | 334.922 -57.316  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2962 AU|
01 00 00  01.01.2028 | 2461771.50000|   61771.00000| 11 33.0 -21 40         | 347.828 -58.776  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2962 AU|
01 30 00  01.01.2028 | 2461771.52083|   61771.02083| 12 03.0 -21 40         | 001.360 -59.204  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2962 AU|
02 00 00  01.01.2028 | 2461771.54167|   61771.04167| 12 33.0 -21 39         | 014.816 -58.556  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2963 AU|
02 30 00  01.01.2028 | 2461771.56250|   61771.06250| 13 03.0 -21 39         | 027.524 -56.899  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2963 AU|
03 00 00  01.01.2028 | 2461771.58333|   61771.08333| 13 33.0 -21 39         | 039.067 -54.383  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2963 AU|
03 30 00  01.01.2028 | 2461771.60417|   61771.10417| 14 03.0 -21 39         | 049.335 -51.190  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2964 AU|
04 00 00  01.01.2028 | 2461771.62500|   61771.12500| 14 33.1 -21 39         | 058.423 -47.493  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2964 AU|
04 30 00  01.01.2028 | 2461771.64583|   61771.14583| 15 03.1 -21 38         | 066.521 -43.436  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2964 AU|
05 00 00  01.01.2028 | 2461771.66667|   61771.16667| 15 33.1 -21 38         | 073.832 -39.133  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2965 AU|
05 30 00  01.01.2028 | 2461771.68750|   61771.18750| 16 03.1 -21 38         | 080.543 -34.673  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2965 AU|
06 00 00  01.01.2028 | 2461771.70833|   61771.20833| 16 33.1 -21 38         | 086.812 -30.127  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2965 AU|
06 30 00  01.01.2028 | 2461771.72917|   61771.22917| 17 03.1 -21 38         | 092.770 -25.554  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2966 AU|
07 00 00  01.01.2028 | 2461771.75000|   61771.25000| 17 33.1 -21 37         | 098.526 -21.003  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2966 AU|
07 30 00  01.01.2028 | 2461771.77083|   61771.27083| 18 03.2 -21 37         | 104.171 -16.519  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2966 AU|
08 00 00  01.01.2028 | 2461771.79167|   61771.29167| 18 33.2 -21 37         | 109.779 -12.144  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.21|    4" |0.99 |   2.2967 AU|
08 30 00  01.01.2028 | 2461771.81250|   61771.31250| 19 03.2 -21 37         | 115.418 -07.921  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2967 AU|
09 00 00  01.01.2028 | 2461771.83333|   61771.33333| 19 33.2 -21 37         | 121.144 -03.893  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2967 AU|
09 30 00  01.01.2028 | 2461771.85417|   61771.35417| 20 03.2 -21 36         | 127.005 +00.373  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2967 AU|
10 00 00  01.01.2028 | 2461771.87500|   61771.37500| 20 33.2 -21 36         | 133.040 +03.604  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2968 AU|
10 30 00  01.01.2028 | 2461771.89583|   61771.39583| 21 03.2 -21 36         | 139.279 +06.695  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2968 AU|
11 00 00  01.01.2028 | 2461771.91667|   61771.41667| 21 33.2 -21 36         | 145.737 +09.448  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2968 AU|
11 30 00  01.01.2028 | 2461771.93750|   61771.43750| 22 03.3 -21 36         | 152.417 +11.784  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2969 AU|
12 00 00  01.01.2028 | 2461771.95833|   61771.45833| 22 33.3 -21 35         | 159.305 +13.647  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2969 AU|
12 30 00  01.01.2028 | 2461771.97917|   61771.47917| 23 03.3 -21 35         | 166.367 +14.995  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2969 AU|
13 00 00  01.01.2028 | 2461772.00000|   61771.50000| 23 33.3 -21 35         | 173.554 +15.792  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2970 AU|
13 30 00  01.01.2028 | 2461772.02083|   61771.52083| 00 03.3 -21 35         | 180.802 +16.019  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2970 AU|
14 00 00  01.01.2028 | 2461772.04167|   61771.54167| 00 33.3 -21 35         | 188.044 +15.671  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2970 AU|
14 30 00  01.01.2028 | 2461772.06250|   61771.56250| 01 03.3 -21 35         | 195.210 +14.757  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2971 AU|
15 00 00  01.01.2028 | 2461772.08333|   61771.58333| 01 33.4 -21 34         | 202.240 +13.298  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2971 AU|
15 30 00  01.01.2028 | 2461772.10417|   61771.60417| 02 03.4 -21 34         | 209.087 +11.332  | 09 26  17 28 | 126  234   | 13 27  +16.0  |  1.20|    4" |0.99 |   2.2971 AU|
