
Jupiter
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2019 | 2458484.45833|   58483.95833| 13 53.1 -21 34         | 046.024 -52.240  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1941 AU|
00 30 00  01.01.2019 | 2458484.47917|   58483.97917| 14 23.2 -21 34         | 055.498 -48.692  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1940 AU|
01 00 00  01.01.2019 | 2458484.50000|   58484.00000| 14 53.3 -21 34         | 063.914 -44.738  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1938 AU|
01 30 00  01.01.2019 | 2458484.52083|   58484.02083| 15 23.3 -21 34         | 071.476 -40.502  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1936 AU|
02 00 00  01.01.2019 | 2458484.54167|   58484.04167| 15 53.4 -21 34         | 078.379 -36.081  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1935 AU|
02 30 00  01.01.2019 | 2458484.56250|   58484.06250| 16 23.5 -21 34         | 084.791 -31.552  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1933 AU|
03 00 00  01.01.2019 | 2458484.58333|   58484.08333| 16 53.5 -21 34         | 090.851 -26.977  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1931 AU|
03 30 00  01.01.2019 | 2458484.60417|   58484.10417| 17 23.6 -21 35         | 096.675 -22.409  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1930 AU|
04 00 00  01.01.2019 | 2458484.62500|   58484.12500| 17 53.6 -21 35         | 102.359 -17.894  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1928 AU|
04 30 00  01.01.2019 | 2458484.64583|   58484.14583| 18 23.7 -21 35         | 107.985 -13.475  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1926 AU|
05 00 00  01.01.2019 | 2458484.66667|   58484.16667| 18 53.8 -21 35         | 113.621 -09.195  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1925 AU|
05 30 00  01.01.2019 | 2458484.68750|   58484.18750| 19 23.8 -21 35         | 119.327 -05.097  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1923 AU|
06 00 00  01.01.2019 | 2458484.70833|   58484.20833| 19 53.9 -21 35         | 125.155 -00.556  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1921 AU|
06 30 00  01.01.2019 | 2458484.72917|   58484.22917| 20 24.0 -21 35         | 131.145 +02.626  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1920 AU|
07 00 00  01.01.2019 | 2458484.75000|   58484.25000| 20 54.0 -21 35         | 137.332 +05.798  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1918 AU|
07 30 00  01.01.2019 | 2458484.77083|   58484.27083| 21 24.1 -21 35         | 143.735 +08.667  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1916 AU|
08 00 00  01.01.2019 | 2458484.79167|   58484.29167| 21 54.2 -21 35         | 150.362 +11.137  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1915 AU|
08 30 00  01.01.2019 | 2458484.81250|   58484.31250| 22 24.2 -21 35         | 157.203 +13.148  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1913 AU|
09 00 00  01.01.2019 | 2458484.83333|   58484.33333| 22 54.3 -21 35         | 164.230 +14.654  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1911 AU|
09 30 00  01.01.2019 | 2458484.85417|   58484.35417| 23 24.3 -21 35         | 171.399 +15.616  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1910 AU|
10 00 00  01.01.2019 | 2458484.87500|   58484.37500| 23 54.4 -21 35         | 178.649 +16.011  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1908 AU|
10 30 00  01.01.2019 | 2458484.89583|   58484.39583| 00 24.5 -21 35         | 185.911 +15.829  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1906 AU|
11 00 00  01.01.2019 | 2458484.91667|   58484.41667| 00 54.5 -21 35         | 193.117 +15.074  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1905 AU|
11 30 00  01.01.2019 | 2458484.93750|   58484.43750| 01 24.6 -21 35         | 200.203 +13.766  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1903 AU|
12 00 00  01.01.2019 | 2458484.95833|   58484.45833| 01 54.7 -21 35         | 207.117 +11.937  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1901 AU|
12 30 00  01.01.2019 | 2458484.97917|   58484.47917| 02 24.7 -21 35         | 213.824 +09.630  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1899 AU|
13 00 00  01.01.2019 | 2458485.00000|   58484.50000| 02 54.8 -21 35         | 220.310 +06.901  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1898 AU|
13 30 00  01.01.2019 | 2458485.02083|   58484.52083| 03 24.9 -21 35         | 226.575 +03.824  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1896 AU|
14 00 00  01.01.2019 | 2458485.04167|   58484.54167| 03 54.9 -21 35         | 232.634 +00.584  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1894 AU|
14 30 00  01.01.2019 | 2458485.06250|   58484.56250| 04 25.0 -21 35         | 238.517 -03.637  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1893 AU|
15 00 00  01.01.2019 | 2458485.08333|   58484.58333| 04 55.0 -21 35         | 244.262 -07.657  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1891 AU|
15 30 00  01.01.2019 | 2458485.10417|   58484.60417| 05 25.1 -21 35         | 249.916 -11.876  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1889 AU|
16 00 00  01.01.2019 | 2458485.12500|   58484.62500| 05 55.2 -21 35         | 255.537 -16.248  | 06 05  14 06 | 126  234   | 10 06  +16.0  | -1.73|   32" |     |   6.1888 AU|
