
Saturn
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        Date         |      JD      |     MJD      |   Equat.coordinates    |Horiz.coordinates |Rising/Setting| Azimuthes  |    Transit    | Mag  |Angular|Phase|  Distance  |
                     |              |              |  at the current epoch  |(Azimuth/Altitude)|              | Ris./Set.  |(Time/Altitude)|      | size  |     |            |
                     |              |              |(Hour angle/Declination)|                  |              |            |               |      |       |     |            |
---------------------|--------------|--------------|------------------------|------------------|--------------|------------|---------------|------|-------|-----|------------|
  h  m  s            |              |              |   h  m     °  '        |    °       °     |   h  m   h  m|    °    °  |   h  m    °   |   m  |       |     |            |
00 00 00  01.01.2020 | 2458849.45833|   58848.95833| 11 01.1 -21 41         | 334.135 -57.210  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9960 AU|
00 30 00  01.01.2020 | 2458849.47917|   58848.97917| 11 31.2 -21 41         | 347.011 -58.737  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9961 AU|
01 00 00  01.01.2020 | 2458849.50000|   58849.00000| 12 01.2 -21 41         | 000.557 -59.233  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9962 AU|
01 30 00  01.01.2020 | 2458849.52083|   58849.02083| 12 31.3 -21 41         | 014.072 -58.648  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9962 AU|
02 00 00  01.01.2020 | 2458849.54167|   58849.04167| 13 01.4 -21 41         | 026.869 -57.043  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9963 AU|
02 30 00  01.01.2020 | 2458849.56250|   58849.06250| 13 31.4 -21 41         | 038.510 -54.565  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9964 AU|
03 00 00  01.01.2020 | 2458849.58333|   58849.08333| 14 01.5 -21 41         | 048.868 -51.398  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9964 AU|
03 30 00  01.01.2020 | 2458849.60417|   58849.10417| 14 31.6 -21 41         | 058.033 -47.717  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9965 AU|
04 00 00  01.01.2020 | 2458849.62500|   58849.12500| 15 01.7 -21 41         | 066.192 -43.667  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9966 AU|
04 30 00  01.01.2020 | 2458849.64583|   58849.14583| 15 31.7 -21 41         | 073.551 -39.366  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9966 AU|
05 00 00  01.01.2020 | 2458849.66667|   58849.16667| 16 01.8 -21 41         | 080.300 -34.905  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9967 AU|
05 30 00  01.01.2020 | 2458849.68750|   58849.18750| 16 31.9 -21 41         | 086.598 -30.355  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9968 AU|
06 00 00  01.01.2020 | 2458849.70833|   58849.20833| 17 01.9 -21 41         | 092.579 -25.775  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9968 AU|
06 30 00  01.01.2020 | 2458849.72917|   58849.22917| 17 32.0 -21 41         | 098.352 -21.215  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9969 AU|
07 00 00  01.01.2020 | 2458849.75000|   58849.25000| 18 02.1 -21 41         | 104.010 -16.722  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9970 AU|
07 30 00  01.01.2020 | 2458849.77083|   58849.27083| 18 32.2 -21 41         | 109.630 -12.338  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9970 AU|
08 00 00  01.01.2020 | 2458849.79167|   58849.29167| 19 02.2 -21 41         | 115.278 -08.105  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9971 AU|
08 30 00  01.01.2020 | 2458849.81250|   58849.31250| 19 32.3 -21 41         | 121.011 -04.066  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9972 AU|
09 00 00  01.01.2020 | 2458849.83333|   58849.33333| 20 02.4 -21 41         | 126.877 +00.235  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9972 AU|
09 30 00  01.01.2020 | 2458849.85417|   58849.35417| 20 32.4 -21 41         | 132.917 +03.458  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9973 AU|
10 00 00  01.01.2020 | 2458849.87500|   58849.37500| 21 02.5 -21 41         | 139.160 +06.557  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9974 AU|
10 30 00  01.01.2020 | 2458849.89583|   58849.39583| 21 32.6 -21 41         | 145.622 +09.319  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9974 AU|
11 00 00  01.01.2020 | 2458849.91667|   58849.41667| 22 02.7 -21 41         | 152.307 +11.664  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9975 AU|
11 30 00  01.01.2020 | 2458849.93750|   58849.43750| 22 32.7 -21 41         | 159.199 +13.535  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9976 AU|
12 00 00  01.01.2020 | 2458849.95833|   58849.45833| 23 02.8 -21 41         | 166.265 +14.890  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9976 AU|
12 30 00  01.01.2020 | 2458849.97917|   58849.47917| 23 32.9 -21 41         | 173.457 +15.694  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9977 AU|
13 00 00  01.01.2020 | 2458850.00000|   58849.50000| 00 02.9 -21 41         | 180.712 +15.926  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9978 AU|
13 30 00  01.01.2020 | 2458850.02083|   58849.52083| 00 33.0 -21 41         | 187.960 +15.581  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9978 AU|
14 00 00  01.01.2020 | 2458850.04167|   58849.54167| 01 03.1 -21 41         | 195.132 +14.668  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9979 AU|
14 30 00  01.01.2020 | 2458850.06250|   58849.56250| 01 33.2 -21 40         | 202.168 +13.210  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9980 AU|
15 00 00  01.01.2020 | 2458850.08333|   58849.58333| 02 03.2 -21 40         | 209.022 +11.242  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9980 AU|
15 30 00  01.01.2020 | 2458850.10417|   58849.60417| 02 33.3 -21 40         | 215.664 +08.811  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9981 AU|
16 00 00  01.01.2020 | 2458850.12500|   58849.62500| 03 03.4 -21 40         | 222.083 +05.976  | 08 58  16 57 | 126  234   | 12 57  +15.9  |  1.33|   15" |     |  10.9982 AU|
